,title,Author,Book_Audio_Length
349,Leadership,Doris Kearns Goodwin,Length: 18 hrs and 4 mins
350,Pour Your Heart into It,Howard Schultz,Length: 2 hrs and 55 mins
351,HBR's 10 Must Reads on Making Smart Decisions,Ram Charan,Length: 6 hrs and 24 mins
352,"Venture Deals, 4th Edition",Brad Feld,Length: 11 hrs and 4 mins
353,The HeART of Laser-Focused Coaching,Marion Franklin,Length: 11 hrs and 7 mins
354,The Untethered Soul at Work,Michael A. Singer,Length: 2 hrs and 17 mins
355,Superforecasting,Philip Tetlock,Length: 9 hrs and 45 mins
356,HBR's 10 Must Reads for New Managers,Harvard Business Review,Length: 6 hrs and 34 mins
357,Caffeine,Michael Pollan,Length: 2 hrs and 2 mins
358,The Road Less Stupid,Keith J. Cunningham,Length: 11 hrs and 32 mins
359,Exponential Organizations,Salim Ismail,Length: 11 hrs and 11 mins
360,The Founder's Dilemmas,Noam Wasserman,Length: 13 hrs and 28 mins
361,The Art of Closing the Sale,Brian Tracy,Length: 4 hrs and 26 mins
362,This Is Marketing,Seth Godin,Length: 7 hrs and 2 mins
363,"Coaching Agile Teams: A Companion for ScrumMasters, Agile Coaches, and Project Managers in Transition",Lyssa Adkins,Length: 13 hrs and 57 mins
364,Leaders Eat Last,Simon Sinek,Length: 9 hrs and 23 mins
365,Common Stocks and Uncommon Profits,Philip A. Fisher,Length: 2 hrs and 55 mins
